Month,Total_Electricity_kW
2019-01-01T00:00:00,155.323
2019-02-01T00:00:00,161.386
2019-03-01T00:00:00,188.342
2019-04-01T00:00:00,174.99
2019-05-01T00:00:00,170.634
2019-06-01T00:00:00,116.021
2019-07-01T00:00:00,115.481
2019-08-01T00:00:00,115.68
2019-09-01T00:00:00,99.251
2019-10-01T00:00:00,133.26
2019-11-01T00:00:00,135.946
2019-12-01T00:00:00,133.404
